fuel_code,item_code_new
1_coal,1_indigenous_production
1_x_coal_thermal,2_imports
1_1_coking_coal,3_exports
1_2_other_bituminous_coal,4_international_marine_bunkers
1_3_subbituminous_coal,5_international_aviation_bunkers
1_4_anthracite,6_stock_change
1_5_lignite,7_total_primary_energy_supply
2_coal_products,8_transfers
2_1_coke_oven_coke,8_1_recycled_products
2_2_coke_oven_gas,8_2_interproduct_transfer
2_3_blast_furnace_gas,8_3_products_transferred
2_4_other_recovered_gases,8_4_gas_separation
2_5_patent_fuel,9_x_power
2_6_coal_tar,9_1_main_activity_producer
2_7_bkb_pb,9_1_1_electricity_plants
3_peat,9_1_2_chp_plants
4_peat_products,9_1_3_heat_plants
5_oil_shale_and_oil_sands,9_2_autoproducers
6_crude_oil_and_ngl,9_2_1_electricity_plants
6_1_crude_oil,9_2_2_chp_plants
6_x_ngls,9_2_3_heat_plants
6_2_natural_gas_liquids,9_3_gas_processing_plants
6_3_refinery_feedstocks,9_3_1_gas_works_plants
6_4_additives_oxygenates,9_3_2_liquefaction_plants
6_5_other_hydrocarbons,9_3_3_regasification_plants
7_petroleum_products,9_3_4_natural_gas_blending_plants
7_1_motor_gasoline,9_3_5_gastoliquids_plants
7_2_aviation_gasoline,9_4_oil_refineries
7_3_naphtha,9_5_coal_transformation
7_x_jet_fuel,9_5_1_coke_ovens
7_4_gasoline_type_jet_fuel,9_5_2_blast_furnaces
7_5_kerosene_type_jet_fuel,9_5_3_patent_fuel_plants
7_6_kerosene,9_5_4_bkb_pb_plants
7_7_gas_diesel_oil,9_5_5_liquefaction_coal_to_oil
7_8_fuel_oil,9_6_petrochemical_industry
7_9_lpg,9_7_biofuels_processing
7_10_refinery_gas_not_liquefied,9_8_charcoal_processing
7_11_ethane,9_9_nonspecified_transformation
7_x_other_petroleum_products,9_x_hydrogen
7_12_white_spirit_sbp,10_losses_and_own_use
7_13_lubricants,10_1_own_use
7_14_bitumen,10_1_1_electricity_chp_and_heat_plants
7_15_paraffin_waxes,10_1_2_gas_works_plants
7_16_petroleum_coke,10_1_3_liquefaction_plants
7_17_other_products,10_1_4_regasification
8_gas,10_1_5_natural_gas_blending_plants
8_1_natural_gas,10_1_6_gastoliquids_plants
8_2_lng,10_1_7_gas_separation
8_3_gas_works_gas,10_1_8_coke_ovens
9_nuclear,10_1_9_coal_mines
10_hydro,10_1_10_blast_furnaces
11_geothermal,10_1_11_patent_fuel_plants
12_solar,10_1_12_bkb_pb_plants
12_1_of_which_photovoltaics,10_1_13_liquefaction_plants_coal_to_oil
13_tide_wave_ocean,10_1_14_oil_refineries
14_wind,10_1_15_oil_and_gas_extraction
15_solid_biomass,10_1_16_biofuels_processing
15_1_fuelwood_and_woodwaste,10_1_17_nuclear_industry
15_2_bagasse,10_1_18_nonspecified_own_uses
15_3_charcoal,10_2_transmision_and_distribution_losses
15_4_black_liquor,11_statistical_discrepancy
15_5_other_biomass,12_total_final_consumption
16_others,13_x_dem_pow_own_hyd
16_1_biogas,13_total_final_energy_consumption
16_2_industrial_waste,14_industry_sector
16_3_municipal_solid_waste_renewable,14_1_iron_and_steel
16_4_municipal_solid_waste_nonrenewable,14_2_chemical_incl_petrochemical
16_5_biogasoline,14_3_non_ferrous_metals
16_6_biodiesel,14_4_nonmetallic_mineral_products
16_7_bio_jet_kerosene,14_5_transportation_equipment
16_8_other_liquid_biofuels,14_6_machinery
16_9_other_sources,14_7_mining_and_quarrying
17_electricity,14_8_food_beverages_and_tobacco
18_heat,14_9_pulp_paper_and_printing
19_total,14_10_wood_and_wood_products
20_total_renewables,14_11_construction
21_modern_renewables,14_12_textiles_and_leather
,14_13_nonspecified_industry
,15_transport_sector
,15_1_domestic_air_transport
,15_2_road
,15_3_rail
,15_4_domestic_navigation
,15_5_pipeline_transport
,15_6_nonspecified_transport
,16_other_sector
,16_1_commercial_and_public_services
,16_2_residential
,16_3_agriculture
,16_4_fishing
,16_5_nonspecified_others
,17_nonenergy_use
,17_1_transformation_sector
,17_2_industry_sector
,17_3_transport_sector
,17_4_other_sector
,18_electricity_output_in_pj
,19_heat_output_in_pj
