TRN_air_freight,Air freight
TRN_air_passenger,Air passenger
TRN_rail_freight,Rail freight
TRN_rail_passenger,Rail passenger
TRN_road_freight_HT_BEV,Road freight
TRN_road_freight_HT_CNG,Road freight
TRN_road_freight_HT_D,Road freight
TRN_road_freight_HT_FCEV,Road freight
TRN_road_freight_HT_G,Road freight
TRN_road_freight_HT_LPG,Road freight
TRN_road_freight_HT_PHEVD,Road freight
TRN_road_freight_LT_BEV,Road freight
TRN_road_freight_LT_CNG,Road freight
TRN_road_freight_LT_D,Road freight
TRN_road_freight_LT_FCEV,Road freight
TRN_road_freight_LT_G,Road freight
TRN_road_freight_LT_LPG,Road freight
TRN_road_freight_LT_PHEVG,Road freight
TRN_road_passenger_2W_BEV,Road passenger
TRN_road_passenger_2W_G,Road passenger
TRN_road_passenger_BUS_BEV,Road passenger
TRN_road_passenger_BUS_CNG,Road passenger
TRN_road_passenger_BUS_D,Road passenger
TRN_road_passenger_BUS_FCEV,Road passenger
TRN_road_passenger_BUS_G,Road passenger
TRN_road_passenger_BUS_LPG,Road passenger
TRN_road_passenger_BUS_PHEVD,Road passenger
TRN_road_passenger_LT_BEV,Road passenger
TRN_road_passenger_LT_CNG,Road passenger
TRN_road_passenger_LT_D,Road passenger
TRN_road_passenger_LT_FCEV,Road passenger
TRN_road_passenger_LT_G,Road passenger
TRN_road_passenger_LT_LPG,Road passenger
TRN_road_passenger_LT_PHEVG,Road passenger
TRN_road_passenger_LV_BEV,Road passenger
TRN_road_passenger_LV_CNG,Road passenger
TRN_road_passenger_LV_D,Road passenger
TRN_road_passenger_LV_FCEV,Road passenger
TRN_road_passenger_LV_G,Road passenger
TRN_road_passenger_LV_LPG,Road passenger
TRN_road_passenger_LV_PHEVG,Road passenger
TRN_ship_freight,Ship freight
TRN_ship_passenger,Ship passenger
TRN_nonspecified_aviation_gasoline,Non-specified
TRN_nonspecified_electricity,Non-specified
TRN_nonspecified_fuel_oil,Non-specified
TRN_nonspecified_gas_diesel_oil,Non-specified
TRN_nonspecified_kerosene,Non-specified
TRN_nonspecified_motor_gasoline,Non-specified
TRN_nonspecified_x_jet_fuel,Non-specified
TRN_nonspecified_lpg,Non-specified
TRN_nonspecified_natural_gas,Non-specified
TRN_nonspecified_x_other_petroleum_products,Non-specified
PIP_1_1_coking_coal,Pipeline
PIP_1_5_lignite,Pipeline
PIP_1_x_coal_thermal,Pipeline
PIP_17_electricity,Pipeline
PIP_18_heat,Pipeline
PIP_2_coal_products,Pipeline
PIP_6_1_crude_oil,Pipeline
PIP_6_x_ngls,Pipeline
PIP_7_1_motor_gasoline,Pipeline
PIP_7_2_aviation_gasoline,Pipeline
PIP_7_x_other_petroleum_products,Pipeline
PIP_7_3_naphtha,Pipeline
PIP_7_x_jet_fuel,Pipeline
PIP_7_6_kerosene,Pipeline
PIP_7_7_gas_diesel_oil,Pipeline
PIP_7_8_fuel_oil,Pipeline
PIP_7_9_lpg,Pipeline
PIP_7_10_refinery_gas_not_liquefied,Pipeline
PIP_7_11_ethane,Pipeline
PIP_8_1_natural_gas,Pipeline
PIP_15_1_fuelwood_and_woodwaste,Pipeline
PIP_15_2_bagasse,Pipeline
PIP_15_3_charcoal,Pipeline
PIP_15_5_other_biomass,Pipeline
PIP_16_1_biogas,Pipeline
PIP_16_2_industrial_waste,Pipeline
PIP_16_3_municipal_solid_waste_renewable,Pipeline
PIP_16_5_biogasoline,Pipeline
PIP_16_6_biodiesel,Pipeline
PIP_16_8_other_liquid_biofuels,Pipeline
PIP_16_4_municipal_solid_waste_nonrenewable,Pipeline
