fuel,sector
01_coal,Industry and non-energy
01_01_coking_coal,Industry and non-energy
01_x_thermal_coal,Industry and non-energy
02_coal_products,Industry and non-energy
06_crude_oil_and_ngl,Industry and non-energy
07_petroleum_products,Industry and non-energy
07_01_motor_gasoline,Industry and non-energy
07_03_naphtha,Industry and non-energy
07_06_kerosene,Industry and non-energy
07_07_gas_diesel_oil,Industry and non-energy
07_08_fuel_oil,Industry and non-energy
07_09_lpg,Industry and non-energy
07_10_refinery_gas_not_liquefied,Industry and non-energy
07_11_ethane,Industry and non-energy
07_x_other_petroleum_products,Industry and non-energy
08_gas,Industry and non-energy
08_01_natural_gas,Industry and non-energy
15_solid_biomass,Industry and non-energy
16_others,Industry and non-energy
16_01_biogas,Industry and non-energy
16_02_industrial_waste,Industry and non-energy
16_03_municipal_solid_waste_renewable,Industry and non-energy
16_04_municipal_solid_waste_nonrenewable,Industry and non-energy
16_05_biogasoline,Industry and non-energy
16_06_biodiesel,Industry and non-energy
16_08_other_liquid_biofuels,Industry and non-energy
16_09_other_sources,Industry and non-energy
16_x_hydrogen,Industry and non-energy
17_electricity,Industry and non-energy
18_heat,Industry and non-energy
19_total,Industry and non-energy
20_total_renewables,Industry and non-energy
21_modern_renewables,Industry and non-energy
07_petroleum_products,Transport
07_01_motor_gasoline,Transport
07_02_aviation_gasoline,Transport
07_07_gas_diesel_oil,Transport
07_08_fuel_oil,Transport
07_x_jet_fuel,Transport
16_05_biogasoline,Transport
16_06_biodiesel,Transport
16_07_bio_jet_kerosene,Transport
16_x_ammonia,Transport
16_x_hydrogen,Transport
17_electricity,Transport
19_total,Transport
20_total_renewables,Transport
21_modern_renewables,Transport
01_coal,Buildings
02_coal_products,Buildings
03_peat,Buildings
04_peat_products,Buildings
07_petroleum_products,Buildings
07_06_kerosene,Buildings
07_09_lpg,Buildings
08_gas,Buildings
11_geothermal,Buildings
12_solar,Buildings
15_solid_biomass,Buildings
16_others,Buildings
17_electricity,Buildings
18_heat,Buildings
19_total,Buildings
20_total_renewables,Buildings
21_modern_renewables,Buildings
01_coal,Hydrogen
02_coal_products,Hydrogen
08_gas,Hydrogen
11_geothermal,Hydrogen
15_solid_biomass,Hydrogen
16_others,Hydrogen
16_x_ammonia,Hydrogen
16_x_hydrogen,Hydrogen
17_electricity,Hydrogen
19_total,Hydrogen
20_total_renewables,Hydrogen
21_modern_renewables,Hydrogen
01_coal,"Ag, fish & non-spec"
01_05_lignite,"Ag, fish & non-spec"
01_x_thermal_coal,"Ag, fish & non-spec"
02_coal_products,"Ag, fish & non-spec"
02_01_coke_oven_coke,"Ag, fish & non-spec"
02_03_coke_oven_gas,"Ag, fish & non-spec"
02_08_bkb_pb,"Ag, fish & non-spec"
06_crude_oil_and_ngl,"Ag, fish & non-spec"
06_01_crude_oil,"Ag, fish & non-spec"
07_petroleum_products,"Ag, fish & non-spec"
07_01_motor_gasoline,"Ag, fish & non-spec"
07_06_kerosene,"Ag, fish & non-spec"
07_07_gas_diesel_oil,"Ag, fish & non-spec"
07_08_fuel_oil,"Ag, fish & non-spec"
07_09_lpg,"Ag, fish & non-spec"
07_x_jet_fuel,"Ag, fish & non-spec"
07_x_other_petroleum_products,"Ag, fish & non-spec"
08_gas,"Ag, fish & non-spec"
08_01_natural_gas,"Ag, fish & non-spec"
11_geothermal,"Ag, fish & non-spec"
12_solar,"Ag, fish & non-spec"
15_solid_biomass,"Ag, fish & non-spec"
15_01_fuelwood_and_woodwaste,"Ag, fish & non-spec"
15_02_bagasse,"Ag, fish & non-spec"
15_03_charcoal,"Ag, fish & non-spec"
15_05_other_biomass,"Ag, fish & non-spec"
16_others,"Ag, fish & non-spec"
16_01_biogas,"Ag, fish & non-spec"
16_02_industrial_waste,"Ag, fish & non-spec"
16_03_municipal_solid_waste_renewable,"Ag, fish & non-spec"
16_04_municipal_solid_waste_nonrenewable,"Ag, fish & non-spec"
16_05_biogasoline,"Ag, fish & non-spec"
16_06_biodiesel,"Ag, fish & non-spec"
16_x_hydrogen,"Ag, fish & non-spec"
17_electricity,"Ag, fish & non-spec"
18_heat,"Ag, fish & non-spec"
19_total,"Ag, fish & non-spec"
20_total_renewables,"Ag, fish & non-spec"
21_modern_renewables,"Ag, fish & non-spec"
01_coal,Power
01_05_lignite,Power
01_x_thermal_coal,Power
02_coal_products,Power
03_peat,Power
04_peat_products,Power
06_crude_oil_and_ngl,Power
07_petroleum_products,Power
07_07_gas_diesel_oil,Power
07_08_fuel_oil,Power
07_x_other_petroleum_products,Power
08_gas,Power
08_01_natural_gas,Power
09_nuclear,Power
10_hydro,Power
11_geothermal,Power
12_solar,Power
12_01_of_which_photovoltaics,Power
12_x_other_solar,Power
13_tide_wave_ocean,Power
14_wind,Power
15_solid_biomass,Power
16_others,Power
16_x_ammonia,Power
16_x_hydrogen,Power
17_electricity,Power
18_heat,Power
19_total,Power
20_total_renewables,Power
21_modern_renewables,Power
06_crude_oil_and_ngl,Refining (oil & biofuels)
06_01_crude_oil,Refining (oil & biofuels)
06_02_natural_gas_liquids,Refining (oil & biofuels)
06_x_other_hydrocarbons,Refining (oil & biofuels)
07_petroleum_products,Refining (oil & biofuels)
07_01_motor_gasoline,Refining (oil & biofuels)
07_02_aviation_gasoline,Refining (oil & biofuels)
07_03_naphtha,Refining (oil & biofuels)
07_06_kerosene,Refining (oil & biofuels)
07_07_gas_diesel_oil,Refining (oil & biofuels)
07_08_fuel_oil,Refining (oil & biofuels)
07_09_lpg,Refining (oil & biofuels)
07_10_refinery_gas_not_liquefied,Refining (oil & biofuels)
07_11_ethane,Refining (oil & biofuels)
07_x_jet_fuel,Refining (oil & biofuels)
07_x_other_petroleum_products,Refining (oil & biofuels)
13_tide_wave_ocean,Refining (oil & biofuels)
15_02_bagasse,Refining (oil & biofuels)
16_05_biogasoline,Refining (oil & biofuels)
16_06_biodiesel,Refining (oil & biofuels)
16_07_bio_jet_kerosene,Refining (oil & biofuels)
16_08_other_liquid_biofuels,Refining (oil & biofuels)
16_09_other_sources,Refining (oil & biofuels)
19_total,Refining (oil & biofuels)
20_total_renewables,Refining (oil & biofuels)
21_modern_renewables,Refining (oil & biofuels)
01_coal,Supply
01_01_coking_coal,Supply
01_05_lignite,Supply
01_x_thermal_coal,Supply
02_coal_products,Supply
03_peat,Supply
04_peat_products,Supply
06_crude_oil_and_ngl,Supply
06_01_crude_oil,Supply
06_02_natural_gas_liquids,Supply
08_gas,Supply
08_01_natural_gas,Supply
08_02_lng,Supply
08_03_gas_works_gas,Supply
15_solid_biomass,Supply
15_01_fuelwood_and_woodwaste,Supply
15_02_bagasse,Supply
15_03_charcoal,Supply
15_04_black_liquor,Supply
15_05_other_biomass,Supply
16_others,Supply
16_01_biogas,Supply
16_02_industrial_waste,Supply
16_03_municipal_solid_waste_renewable,Supply
16_04_municipal_solid_waste_nonrenewable,Supply
16_09_other_sources,Supply
19_total,Supply
20_total_renewables,Supply
21_modern_renewables,Supply
